OrderID,Courier,DeliveryZone,DeliveryService,DailyOrderVolume,risk,key_driver,OnTime,LatenessHours,RefundAmount,CourierDelayHours,InternalDelayHours
ORD1003,In-house Rider,Klang Valley,Same Day,11,15,Tight requested window,True,0.6166666666666667,0.0,0.0,0.7833333333333334
ORD1002,Lalamove,Klang Valley,Same Day,11,55,Tight requested window,True,0.1833333333333333,0.0,0.1666666666666667,0.0166666666666666
ORD1020,Pos Laju,Johor Bahru,Next Day,11,8,Klang Valley zone,True,0.5666666666666667,0.0,3.5,0.0
ORD1008,In-house Rider,Klang Valley,Same Day,11,80,Order value,False,1.1,0.0,0.0999999999999998,1.0
ORD1044,J&T Express,Other,Scheduled,15,3,Klang Valley zone,True,-0.1666666666666666,0.0,0.0,5.474999999999998
ORD1004,In-house Rider,Klang Valley,Same Day,11,17,Lalamove,True,0.65,0.0,1.0666666666666669,0.0
ORD1082,Ninja Van,Penang,Scheduled,10,5,Klang Valley zone,True,-0.7666666666666667,0.0,0.6166666666666707,0.0
ORD1006,In-house Rider,Klang Valley,Same Day,11,10,Same Day service,True,0.8,0.0,0.2666666666666666,0.5333333333333334
ORD1017,Pos Laju,Penang,Next Day,11,4,Klang Valley zone,True,6.933333333333334,129.38,7.733333333333334,0.0
ORD1079,Pos Laju,Penang,Scheduled,12,13,Klang Valley zone,True,-0.3666666666666666,0.0,0.0,2.7666666666666657
ORD1021,Lalamove,Klang Valley,Next Day,11,1,In-house Rider,True,0.2666666666666666,0.0,0.4166666666666665,0.0
ORD1066,J&T Express,Johor Bahru,Scheduled,7,2,Klang Valley zone,True,-0.6,0.0,2.8583333333333343,0.0
ORD1061,Ninja Van,Penang,Scheduled,7,2,Ninja Van,True,0.35,0.0,7.7500000000000036,0.0
ORD1058,In-house Rider,Klang Valley,Scheduled,11,0,Lalamove,True,0.9666666666666668,0.0,0.4166666666666667,0.55
ORD1060,J&T Express,Johor Bahru,Scheduled,11,4,Klang Valley zone,True,-0.6333333333333333,0.0,0.0,4.891666666666666
ORD1012,Lalamove,Klang Valley,Same Day,11,16,Tight requested window,True,0.4,119.77,0.4833333333333334,0.0
ORD1046,Lalamove,Klang Valley,Scheduled,15,0,Order hour,True,1.1166666666666667,0.0,1.2166666666666668,0.0
ORD1025,Lalamove,Klang Valley,Next Day,12,0,In-house Rider,True,-0.0166666666666666,0.0,0.0,0.4333333333333333
ORD1029,Pos Laju,Penang,Next Day,12,28,Klang Valley zone,True,0.0166666666666666,0.0,0.0,3.2666666666666657
ORD1078,Lalamove,Klang Valley,Scheduled,12,0,In-house Rider,True,0.6833333333333333,0.0,0.3500000000000001,0.3333333333333332
ORD1052,Lalamove,Klang Valley,Scheduled,11,1,In-house Rider,True,0.7166666666666667,0.0,0.6333333333333333,0.0833333333333332
ORD1087,In-house Rider,Klang Valley,Scheduled,10,0,Lalamove,True,0.8833333333333333,0.0,0.0,0.9166666666666669
ORD1032,J&T Express,Other,Next Day,12,51,Klang Valley zone,True,2.033333333333333,218.16,0.0,5.391666666666666
ORD1027,Ninja Van,Other,Next Day,12,12,Klang Valley zone,False,8.633333333333333,0.0,7.433333333333337,1.1999999999999993
ORD1070,GrabExpress,Klang Valley,Scheduled,12,0,Lalamove,True,0.6166666666666667,194.62,0.0083333333333333,0.6083333333333334
ORD1063,Lalamove,Klang Valley,Scheduled,7,0,Order value,True,0.1833333333333333,0.0,0.4333333333333335,0.0
ORD1033,Ninja Van,Klang Valley,Next Day,12,41,Ninja Van,True,8.45,0.0,3.033333333333335,5.416666666666664
ORD1030,Lalamove,Klang Valley,Same Day,12,3,Tight requested window,True,0.5666666666666667,141.18,0.9166666666666664,0.0
ORD1034,In-house Rider,Klang Valley,Same Day,12,39,Order value,True,0.6666666666666666,0.0,0.6166666666666665,0.05
ORD1026,Lalamove,Klang Valley,Same Day,12,0,Same Day service,False,1.0833333333333333,0.0,0.8666666666666667,0.2166666666666665
ORD1024,GrabExpress,Klang Valley,Same Day,12,53,Tight requested window,True,0.0666666666666666,0.0,0.0,0.3583333333333334
ORD1049,Lalamove,Klang Valley,Next Day,15,0,Order weekday,True,0.3833333333333333,0.0,0.0,0.3999999999999999
ORD1031,Lalamove,Klang Valley,Same Day,12,15,Tight requested window,True,0.2833333333333333,0.0,0.6666666666666665,0.0
ORD1059,J&T Express,Johor Bahru,Scheduled,11,8,Klang Valley zone,True,-0.1833333333333333,0.0,2.9250000000000007,0.0
ORD1035,J&T Express,Penang,Next Day,15,84,J&T Express,False,14.283333333333331,138.73,7.008333333333336,7.274999999999999
ORD1065,J&T Express,Other,Scheduled,7,17,Klang Valley zone,True,1.0333333333333334,0.0,0.0,2.7749999999999986
ORD1111,Pos Laju,Johor Bahru,Scheduled,13,7,Klang Valley zone,True,-0.8333333333333334,0.0,1.1999999999999993,0.0
ORD1073,In-house Rider,Klang Valley,Scheduled,12,0,Order value,True,0.7,0.0,0.0,1.25
ORD1090,Lalamove,Klang Valley,Scheduled,10,0,In-house Rider,True,0.5,0.0,0.8999999999999999,0.0
ORD1037,GrabExpress,Klang Valley,Same Day,15,17,Tight requested window,True,-0.1166666666666666,0.0,0.4916666666666665,0.0
ORD1043,Lalamove,Klang Valley,Same Day,15,11,Tight requested window,True,-0.3166666666666666,0.0,0.0,0.4166666666666667
ORD1048,In-house Rider,Klang Valley,Same Day,15,19,Tight requested window,True,-0.3,0.0,0.0,0.0
ORD1102,GrabExpress,Klang Valley,Scheduled,13,1,Order weekday,True,-0.2333333333333333,0.0,0.4916666666666665,0.0
ORD1039,In-house Rider,Klang Valley,Same Day,15,6,Tight requested window,True,0.2333333333333333,0.0,0.2999999999999998,0.0
ORD1081,GrabExpress,Klang Valley,Scheduled,10,0,In-house Rider,True,0.4,0.0,0.6916666666666667,0.0
ORD1045,Lalamove,Klang Valley,Same Day,15,15,Order value,True,0.65,0.0,0.0,0.7833333333333333
ORD1098,Lalamove,Klang Valley,Scheduled,10,1,Order value,True,0.9333333333333332,0.0,0.0,1.1166666666666667
ORD1042,Lalamove,Klang Valley,Same Day,15,3,Order hour,True,0.1833333333333333,0.0,0.0,0.7166666666666667
ORD1107,Lalamove,Klang Valley,Scheduled,13,0,In-house Rider,True,0.5666666666666667,0.0,0.75,0.0
ORD1096,Pos Laju,Other,Scheduled,10,14,Klang Valley zone,True,-0.45,0.0,0.0,0.8500000000000014
ORD1125,Lalamove,Klang Valley,Scheduled,13,0,In-house Rider,True,0.55,0.0,0.3166666666666666,0.2333333333333334
ORD1053,Lalamove,Klang Valley,Same Day,11,13,Tight requested window,True,0.6166666666666667,96.49,0.0,0.6666666666666666
ORD1055,Lalamove,Klang Valley,Same Day,11,20,Tight requested window,True,0.2833333333333333,0.0,0.2666666666666666,0.0166666666666666
ORD1054,Lalamove,Klang Valley,Same Day,11,82,Tight requested window,False,1.05,93.31,0.6000000000000001,0.4499999999999999
ORD1057,GrabExpress,Klang Valley,Same Day,11,14,In-house Rider,True,0.0333333333333333,0.0,0.0,0.2250000000000001
ORD1113,In-house Rider,Klang Valley,Scheduled,13,0,Lalamove,True,0.2333333333333333,0.0,0.0,0.6500000000000001
ORD1050,Lalamove,Klang Valley,Same Day,11,9,In-house Rider,True,0.4166666666666667,0.0,0.1999999999999999,0.2166666666666665
ORD1080,In-house Rider,Klang Valley,Scheduled,10,0,Birthday occasion,True,0.6,0.0,0.0833333333333332,0.5166666666666668
