OrderID,Courier,DeliveryZone,DeliveryService,DailyOrderVolume,risk,IsLate,key_driver
ORD1593,GrabExpress,Klang Valley,Same Day,57,100,1,High daily volume
ORD1640,GrabExpress,Klang Valley,Same Day,57,100,1,High daily volume
ORD2727,In-house Rider,Klang Valley,Same Day,49,100,1,High daily volume
ORD2757,In-house Rider,Klang Valley,Same Day,49,100,1,High daily volume
ORD1588,GrabExpress,Klang Valley,Same Day,57,100,1,High daily volume
ORD1599,Lalamove,Klang Valley,Same Day,57,100,1,High daily volume
ORD1627,In-house Rider,Klang Valley,Same Day,57,100,1,High daily volume
ORD1641,Lalamove,Klang Valley,Same Day,57,100,1,High daily volume
ORD1586,GrabExpress,Klang Valley,Same Day,57,100,1,High daily volume
ORD1621,In-house Rider,Klang Valley,Same Day,57,100,1,High daily volume
ORD1602,Lalamove,Klang Valley,Same Day,57,100,1,High daily volume
ORD1638,Lalamove,Klang Valley,Same Day,57,100,1,High daily volume
ORD1613,In-house Rider,Klang Valley,Same Day,57,100,1,High daily volume
ORD2770,Lalamove,Klang Valley,Same Day,47,100,1,High daily volume
ORD2731,Lalamove,Klang Valley,Same Day,49,100,1,High daily volume
ORD2759,Lalamove,Klang Valley,Same Day,49,100,1,High daily volume
ORD2739,Lalamove,Klang Valley,Same Day,49,100,1,High daily volume
ORD2787,In-house Rider,Klang Valley,Same Day,47,100,1,High daily volume
ORD2748,Lalamove,Klang Valley,Same Day,49,100,1,High daily volume
ORD2761,GrabExpress,Klang Valley,Same Day,49,100,1,High daily volume
ORD2726,Lalamove,Klang Valley,Same Day,49,100,1,High daily volume
ORD2734,GrabExpress,Klang Valley,Same Day,49,100,1,High daily volume
ORD2767,Lalamove,Klang Valley,Same Day,49,99,1,High daily volume
ORD2659,Lalamove,Klang Valley,Same Day,37,99,1,High daily volume
ORD1606,GrabExpress,Klang Valley,Same Day,57,99,1,High daily volume
ORD1545,In-house Rider,Klang Valley,Same Day,45,99,1,High daily volume
ORD1590,Lalamove,Klang Valley,Same Day,57,99,1,High daily volume
ORD1570,In-house Rider,Klang Valley,Same Day,45,99,1,High daily volume
ORD2669,Lalamove,Klang Valley,Same Day,37,99,1,High daily volume
ORD1605,Lalamove,Klang Valley,Same Day,57,99,1,High daily volume
ORD1597,In-house Rider,Klang Valley,Same Day,57,99,1,High daily volume
ORD1612,In-house Rider,Klang Valley,Same Day,57,99,1,High daily volume
ORD1618,GrabExpress,Klang Valley,Same Day,57,99,1,High daily volume
ORD1629,GrabExpress,Klang Valley,Same Day,57,99,1,High daily volume
ORD1563,GrabExpress,Klang Valley,Same Day,45,99,1,High daily volume
ORD1628,Lalamove,Klang Valley,Same Day,57,99,1,High daily volume
ORD2793,In-house Rider,Klang Valley,Same Day,47,99,1,High daily volume
ORD2766,Lalamove,Klang Valley,Same Day,49,99,1,High daily volume
